Iteration,Training Stump Error (%),Testing Stump Error (%)
0,11.92,12.479999999999999
1,41.42,40.760000000000005
2,19.7,20.3
3,61.980000000000004,61.44
4,10.879999999999999,11.66
5,80.36,79.82000000000001
6,41.92,40.72
7,41.42,40.760000000000005
8,32.7,34.0
9,73.72,73.83999999999999
10,10.879999999999999,11.66
11,40.36,40.42
12,73.88,74.11999999999999
13,38.879999999999995,38.32
14,50.160000000000004,50.03999999999999
15,73.72,73.83999999999999
16,25.88,25.840000000000003
17,34.62,35.9
18,64.18,63.38
19,18.4,19.12
20,69.12,69.74000000000001
21,47.68,47.02
22,41.42,40.760000000000005
23,10.879999999999999,11.66
24,55.879999999999995,54.98
25,62.9,62.6
26,57.120000000000005,56.76
27,46.800000000000004,47.46
28,10.879999999999999,11.66
29,75.18,75.44
30,61.980000000000004,61.44
31,11.92,12.479999999999999
32,73.72,73.83999999999999
33,36.3,36.68
34,10.879999999999999,11.66
35,81.89999999999999,82.12
36,24.58,24.18
37,58.08,59.28
38,77.5,77.18
39,32.019999999999996,32.940000000000005
40,73.72,73.83999999999999
41,16.78,17.16
42,65.16,64.2
43,46.400000000000006,49.16
44,41.24,40.38
45,61.980000000000004,61.44
46,10.879999999999999,11.66
47,86.38,86.16
48,41.42,40.760000000000005
49,21.68,21.560000000000002
50,86.38,86.16
51,24.52,25.56
52,52.480000000000004,53.16
53,86.38,86.16
54,10.879999999999999,11.66
55,83.89999999999999,83.89999999999999
56,11.92,12.479999999999999
57,86.38,86.16
58,11.92,12.479999999999999
59,86.38,86.16
60,73.72,73.83999999999999
61,16.78,17.16
62,55.66,56.32
63,86.38,86.16
64,34.08,33.36
65,86.38,86.16
66,10.879999999999999,11.66
67,84.88,84.72
68,11.92,12.479999999999999
69,86.38,86.16
70,11.92,12.479999999999999
71,86.38,86.16
72,44.2,45.46
73,61.980000000000004,61.44
74,11.92,12.479999999999999
75,61.12,61.68
76,11.92,12.479999999999999
77,86.38,86.16
78,73.72,73.83999999999999
79,36.22,36.5
80,21.560000000000002,21.54
81,86.38,86.16
82,10.879999999999999,11.66
83,58.08,59.28
84,53.16,52.339999999999996
85,68.66,68.14
86,34.62,35.9
87,65.16,64.2
88,49.559999999999995,49.8
89,77.5,77.18
90,61.980000000000004,61.44
91,11.92,12.479999999999999
92,86.38,86.16
93,41.42,40.760000000000005
94,12.06,12.36
95,86.38,86.16
96,39.46,39.800000000000004
97,10.879999999999999,11.66
98,84.88,84.72
99,73.72,73.83999999999999
100,11.88,12.280000000000001
101,86.38,86.16
102,10.879999999999999,11.66
103,75.18,75.44
104,21.68,21.560000000000002
105,86.38,86.16
106,58.24,58.040000000000006
107,10.879999999999999,11.66
108,86.38,86.16
109,22.900000000000002,23.14
110,84.88,84.72
111,14.52,15.440000000000001
112,84.88,84.72
113,15.36,16.2
114,77.5,77.18
115,41.42,40.760000000000005
116,11.92,12.479999999999999
117,86.38,86.16
118,46.400000000000006,49.16
119,68.66,68.14
120,11.92,12.479999999999999
121,73.72,73.83999999999999
122,16.78,17.16
123,58.08,59.28
124,61.980000000000004,61.44
125,10.879999999999999,11.66
126,63.63999999999999,63.580000000000005
127,55.08,54.98
128,42.5,41.760000000000005
129,86.38,86.16
130,14.52,15.440000000000001
131,84.88,84.72
132,18.4,19.12
133,86.38,86.16
134,24.4,24.099999999999998
135,77.5,77.18
136,36.3,37.56
137,11.92,12.479999999999999
138,86.38,86.16
139,40.44,41.839999999999996
140,20.94,21.04
141,88.08,87.52
142,14.52,15.440000000000001
143,84.88,84.72
144,11.92,12.479999999999999
145,86.38,86.16
146,37.019999999999996,36.720000000000006
147,86.38,86.16
148,11.92,12.479999999999999
149,86.38,86.16
150,18.4,19.12
151,27.42,27.52
152,84.88,84.72
153,11.92,12.479999999999999
154,86.38,86.16
155,73.72,73.83999999999999
156,11.88,12.280000000000001
157,85.02,84.64
158,14.48,15.22
159,86.38,86.16
160,46.839999999999996,46.14
161,14.52,15.440000000000001
162,84.88,84.72
163,86.38,86.16
164,11.92,12.479999999999999
165,86.38,86.16
166,31.840000000000003,32.32
167,27.68,27.46
168,86.38,86.16
169,11.92,12.479999999999999
170,71.84,72.39999999999999
171,31.44,31.1
172,87.48,87.06
173,86.38,86.16
174,14.52,15.440000000000001
175,87.48,87.06
176,46.400000000000006,49.16
177,86.38,86.16
178,41.42,40.760000000000005
179,11.92,12.479999999999999
180,73.72,73.83999999999999
181,16.78,17.16
182,79.10000000000001,79.3
183,20.94,21.04
184,87.48,87.06
185,77.5,77.18
186,15.32,15.939999999999998
187,86.38,86.16
188,21.98,22.2
189,85.02,84.64
190,11.92,12.479999999999999
191,51.9,52.28
192,40.2,40.36
193,76.94,76.2
194,14.52,15.440000000000001
195,87.48,87.06
196,61.980000000000004,61.44
197,21.68,21.560000000000002
198,86.38,86.16
199,31.080000000000002,31.16
200,60.08,60.660000000000004
201,16.520000000000003,16.6
202,64.66,64.16
203,59.84,60.8
204,42.26,41.120000000000005
205,57.14,58.42
206,42.26,41.120000000000005
207,39.98,41.52
208,61.980000000000004,60.760000000000005
209,86.38,86.16
210,11.92,12.479999999999999
211,72.26,72.26
212,41.72,42.46
213,18.4,19.12
214,87.48,87.06
215,48.02,49.04
216,74.38,74.86
217,14.52,15.440000000000001
218,87.48,87.06
219,77.5,77.18
220,11.92,12.479999999999999
221,86.38,86.16
222,25.019999999999996,24.68
223,49.8,50.4
224,31.1,31.78
225,48.16,48.26
226,53.82,53.879999999999995
227,45.58,45.660000000000004
228,59.18,59.8
229,40.22,39.739999999999995
230,86.38,86.16
231,11.92,12.479999999999999
232,69.16,69.34
233,49.4,48.88
234,50.0,50.660000000000004
235,49.4,48.88
236,50.0,50.660000000000004
237,49.4,48.88
238,52.559999999999995,53.400000000000006
239,86.38,86.16
240,11.92,12.479999999999999
241,67.58,67.08
242,47.58,47.44
243,51.82,52.1
244,47.58,47.44
245,18.4,19.12
246,55.08,54.98
247,86.5,86.24000000000001
248,38.78,37.580000000000005
249,86.38,86.16
250,14.52,15.440000000000001
251,58.08,59.28
252,85.02,84.64
253,61.980000000000004,61.44
254,11.799999999999999,12.520000000000001
255,72.14,71.6
256,50.660000000000004,51.66
257,73.72,73.83999999999999
258,11.92,12.479999999999999
259,57.26,57.220000000000006
260,49.08,50.28
261,61.36000000000001,60.88
262,51.13999999999999,50.86000000000001
263,86.38,86.16
264,11.92,12.479999999999999
265,74.38,74.86
266,44.18,43.36
267,52.559999999999995,53.400000000000006
268,46.839999999999996,46.14
269,52.559999999999995,53.400000000000006
270,46.839999999999996,46.14
271,86.38,86.16
272,14.52,15.440000000000001
273,87.48,87.06
274,29.080000000000002,30.259999999999998
275,42.78,42.84
276,56.620000000000005,56.699999999999996
277,42.78,42.84
278,56.620000000000005,56.699999999999996
279,86.38,86.16
280,11.92,12.479999999999999
281,69.34,68.46
282,77.5,77.18
283,41.42,40.760000000000005
284,11.92,12.479999999999999
285,55.67999999999999,56.06
286,59.28,59.48
287,35.46,34.760000000000005
288,86.38,86.16
289,15.459999999999999,16.04
290,20.94,21.04
291,52.32,52.980000000000004
292,86.38,86.16
293,11.92,12.479999999999999
294,76.0,74.98
295,44.6,44.62
296,52.239999999999995,52.18000000000001
297,22.84,23.599999999999998
298,74.0,73.2
299,44.56,45.019999999999996
300,54.84,54.52
301,44.56,45.019999999999996
302,54.84,54.52
303,44.56,45.019999999999996
304,54.84,54.52
305,44.56,45.019999999999996
306,54.84,54.52
307,44.56,45.019999999999996
308,54.84,54.52
309,45.16,45.58
310,51.580000000000005,51.18000000000001
311,47.22,47.8
312,34.62,35.9
313,67.75999999999999,66.53999999999999
314,46.22,45.78
315,42.24,44.3
316,50.42,51.2
317,61.980000000000004,61.44
318,11.92,12.479999999999999
319,59.31999999999999,57.98
320,58.26,59.419999999999995
321,51.080000000000005,50.42
322,58.76,58.540000000000006
323,40.64,41.0
324,61.339999999999996,61.14000000000001
325,38.06,38.4
326,64.0,63.92
327,35.4,35.620000000000005
328,64.0,63.92
329,35.4,35.620000000000005
330,61.339999999999996,61.14000000000001
331,38.06,38.4
332,64.98,64.74
333,34.42,34.8
334,58.76,58.540000000000006
335,33.12,32.62
336,48.22,47.599999999999994
337,82.32000000000001,81.98
338,14.52,15.440000000000001
339,87.48,87.06
340,86.38,86.16
341,34.32,33.46
342,61.12,61.68
343,48.52,47.68
344,86.38,86.16
345,12.9,13.3
346,68.84,69.52000000000001
347,29.580000000000002,29.2
348,61.88,61.82
349,37.519999999999996,37.72
350,63.88,63.6
351,86.38,86.16
352,11.92,12.479999999999999
353,71.84,72.39999999999999
354,38.06,38.4
355,64.92,64.3
356,47.58,47.44
357,51.82,52.1
358,40.36,42.08
359,85.02,84.64
360,11.92,12.479999999999999
361,52.0,52.1
362,54.66,54.339999999999996
363,64.68,64.78
364,34.72,34.760000000000005
365,52.12,52.76
366,47.28,46.78
367,52.12,52.76
368,47.28,46.78
369,52.12,52.76
370,47.28,46.78
371,52.12,52.76
372,86.38,86.16
373,73.72,73.83999999999999
374,11.92,12.479999999999999
375,71.39999999999999,72.26
376,40.54,39.56
377,61.419999999999995,62.72
378,14.52,15.440000000000001
379,87.48,87.06
380,25.019999999999996,24.68
381,70.84,71.3
382,31.14,30.84
383,68.26,68.7
384,86.38,86.16
385,11.92,12.479999999999999
386,84.88,84.72
387,33.739999999999995,33.18
388,65.66,66.36
389,31.16,30.580000000000002
390,68.24,68.96
391,86.38,86.16
392,11.92,12.479999999999999
393,87.48,87.06
394,77.5,77.18
395,11.92,12.479999999999999
396,76.88000000000001,75.76
397,41.760000000000005,41.88
398,58.620000000000005,58.48
399,86.38,86.16
400,11.92,12.479999999999999
401,79.10000000000001,79.3
402,33.5,33.879999999999995
403,65.9,65.66
404,36.08,36.480000000000004
405,63.32,63.06
406,14.52,15.440000000000001
407,87.48,87.06
408,86.38,86.16
409,11.92,12.479999999999999
410,85.48,85.28
411,31.78,31.0
412,86.38,86.16
413,16.78,17.16
414,87.48,87.06
415,44.940000000000005,44.519999999999996
416,68.66,68.14
417,46.400000000000006,49.16
418,18.4,19.12
419,35.42,34.96
420,55.08,54.98
421,79.10000000000001,79.3
422,86.38,86.16
423,41.42,40.760000000000005
424,15.559999999999999,16.08
425,77.5,77.18
426,26.5,27.66
427,11.92,12.479999999999999
428,86.38,86.16
429,11.88,12.280000000000001
430,87.48,87.06
431,14.52,15.440000000000001
432,87.48,87.06
433,73.72,73.83999999999999
434,11.92,12.479999999999999
435,20.94,21.04
436,87.48,87.06
437,86.38,86.16
438,11.92,12.479999999999999
439,86.38,86.16
440,15.32,15.939999999999998
441,58.08,59.28
442,61.980000000000004,61.44
443,77.5,77.18
444,14.52,15.440000000000001
445,87.48,87.06
446,18.4,19.12
447,53.879999999999995,54.1
448,85.02,84.64
449,17.1,17.419999999999998
450,86.38,86.16
451,44.18,43.36
452,34.260000000000005,33.44
453,86.38,86.16
454,16.48,17.0
455,52.239999999999995,52.18000000000001
456,49.4,49.220000000000006
457,50.0,50.32
458,49.4,49.220000000000006
459,50.0,50.32
460,86.38,86.16
461,11.92,12.479999999999999
462,71.78,72.52
463,43.94,43.3
464,58.06,58.58
465,32.96,33.2
466,66.44,66.34
467,32.96,33.2
468,66.44,66.34
469,86.38,86.16
470,16.78,17.16
471,87.48,87.06
472,30.06,30.159999999999997
473,84.88,84.72
474,86.38,86.16
475,27.26,27.939999999999998
476,50.339999999999996,49.120000000000005
477,86.38,86.16
478,14.48,15.22
479,65.60000000000001,65.92
480,14.52,15.440000000000001
481,87.48,87.06
482,86.38,86.16
483,11.92,12.479999999999999
484,66.97999999999999,66.52
485,37.66,38.4
486,73.72,73.83999999999999
487,11.92,12.479999999999999
488,71.84,72.39999999999999
489,77.5,77.18
490,11.92,12.479999999999999
491,60.38,59.86
492,52.0,51.559999999999995
493,44.76,46.14
494,50.0,50.32
495,67.64,66.75999999999999
496,42.68,43.9
497,56.720000000000006,55.64
498,42.68,43.9
499,56.720000000000006,55.64
