Iteration,2 Features Training Error (%),2 Features Testing Error (%),4 Features Training Error (%),4 Features Testing Error (%),6 Features Training Error (%),6 Features Testing Error (%)
250,4.99,11.515559999999999,4.998,11.309000000000001,5.21,11.31
251,5.055,11.407,5.071999999999999,11.385000000000002,5.2482,11.4208
252,4.925,11.370000000000001,4.882,11.344,5.0600000000000005,11.222
253,4.970000000000001,11.535559999999998,5.058,11.429,5.21,11.290000000000001
254,4.955,11.327,4.992,11.345,5.1482,11.2808
255,5.005,11.35,4.942,11.463999999999999,5.08,11.402
256,4.95,11.435559999999999,4.958,11.329,5.13,11.290000000000001
257,5.114999999999999,11.327,4.9719999999999995,11.405000000000001,5.1082,11.3808
258,4.965,11.21,4.882,11.383999999999999,5.0,11.282
259,4.99,11.395559999999998,5.038,11.429,5.1899999999999995,11.41
260,4.995,11.207,4.992,11.325000000000001,5.1482,11.2808
261,5.025,11.21,4.962,11.443999999999999,5.1,11.421999999999999
262,4.99,11.355559999999999,5.018,11.289000000000001,5.13,11.33
263,5.114999999999999,11.227,5.052,11.405000000000001,5.208200000000001,11.4608
264,5.005,11.21,4.942,11.303999999999998,4.94,11.341999999999999
265,5.07,11.415559999999997,5.077999999999999,11.389000000000001,5.21,11.450000000000001
266,5.075,11.207,5.032,11.345,5.1282000000000005,11.3808
267,5.085,11.21,4.981999999999999,11.443999999999999,5.16,11.402
268,5.03,11.355559999999999,5.058,11.349,5.21,11.370000000000001
269,5.135,11.267,5.092,11.425,5.2482,11.4408
270,5.0649999999999995,11.25,4.922,11.383999999999999,5.140000000000001,11.382
271,5.130000000000001,11.415559999999997,5.098,11.429,5.27,11.450000000000001
272,5.095,11.207,5.092,11.445,5.1282000000000005,11.4208
273,5.085,11.25,5.002,11.543999999999999,5.18,11.442
274,5.010000000000001,11.375559999999998,5.058,11.349,5.21,11.41
275,5.154999999999999,11.247,5.132,11.485000000000001,5.2282,11.4408
276,4.925,11.25,4.981999999999999,11.383999999999999,5.1,11.362
277,5.010000000000001,11.395559999999998,5.138,11.429,5.27,11.43
278,4.955,11.247,5.052,11.385000000000002,5.1882,11.3808
279,5.025,11.25,5.042,11.504,5.18,11.421999999999999
280,4.970000000000001,11.395559999999998,5.077999999999999,11.389000000000001,5.1899999999999995,11.35
281,5.114999999999999,11.347,5.092,11.525,5.208200000000001,11.4008
282,4.925,11.290000000000001,4.981999999999999,11.404,5.12,11.341999999999999
283,5.03,11.475559999999998,5.117999999999999,11.389000000000001,5.23,11.370000000000001
284,4.955,11.287,5.111999999999999,11.385000000000002,5.1882,11.3608
285,5.005,11.31,5.062,11.424,5.16,11.362
286,4.87,11.395559999999998,5.138,11.369000000000002,5.21,11.31
287,5.035,11.267,5.152,11.485000000000001,5.2282,11.3608
288,4.925,11.19,5.002,11.404,5.140000000000001,11.302
289,4.970000000000001,11.455559999999998,5.158,11.409,5.27,11.31
290,4.935,11.307,5.132,11.385000000000002,5.1882,11.3008
291,4.945,11.370000000000001,5.062,11.424,5.18,11.341999999999999
292,4.87,11.495559999999998,5.138,11.349,5.23,11.290000000000001
293,5.035,11.387,5.152,11.385000000000002,5.2882,11.3408
294,4.885,11.35,5.062,11.404,5.1,11.302
295,4.99,11.515559999999999,5.178,11.389000000000001,5.29,11.370000000000001
296,4.975,11.287,5.172,11.385000000000002,5.2282,11.3208
297,5.005,11.31,5.101999999999999,11.404,5.22,11.341999999999999
298,4.930000000000001,11.455559999999998,5.117999999999999,11.329,5.23,11.290000000000001
299,5.035,11.307,5.191999999999999,11.385000000000002,5.2882,11.3408
300,4.945,11.31,5.021999999999999,11.383999999999999,5.140000000000001,11.302
301,4.99,11.535559999999998,5.158,11.389000000000001,5.23,11.35
302,4.995,11.327,5.152,11.345,5.1682,11.3208
303,5.005,11.39,5.062,11.424,5.16,11.362
304,4.890000000000001,11.535559999999998,5.158,11.329,5.21,11.33
305,5.035,11.387,5.152,11.445,5.2482,11.3608
306,4.905,11.370000000000001,5.062,11.363999999999999,5.1,11.282
307,4.95,11.535559999999998,5.158,11.389000000000001,5.25,11.370000000000001
308,4.955,11.347,5.132,11.385000000000002,5.1882,11.2808
309,4.965,11.35,5.082,11.404,5.140000000000001,11.322
310,4.890000000000001,11.495559999999998,5.098,11.309000000000001,5.17,11.25
311,5.075,11.367,5.132,11.325000000000001,5.208200000000001,11.3408
312,4.905,11.370000000000001,4.981999999999999,11.303999999999998,5.1,11.282
313,4.970000000000001,11.515559999999999,5.077999999999999,11.349,5.21,11.290000000000001
314,5.015,11.367,5.071999999999999,11.305000000000001,5.1682,11.3008
315,5.005,11.370000000000001,5.021999999999999,11.404,5.140000000000001,11.302
316,4.970000000000001,11.515559999999999,5.117999999999999,11.369000000000002,5.21,11.25
317,5.114999999999999,11.367,5.111999999999999,11.425,5.2682,11.3208
318,5.005,11.370000000000001,4.962,11.404,5.18,11.241999999999999
319,5.05,11.515559999999999,5.158,11.469000000000001,5.329999999999999,11.31
320,5.095,11.307,5.052,11.425,5.2682,11.2808
321,5.0649999999999995,11.35,5.042,11.463999999999999,5.239999999999999,11.362
322,4.99,11.435559999999999,5.038,11.369000000000002,5.25,11.33
323,5.095,11.287,5.132,11.485000000000001,5.2682,11.4008
324,5.025,11.290000000000001,4.962,11.463999999999999,5.16,11.362
325,5.05,11.515559999999999,5.178,11.489,5.329999999999999,11.39
326,5.035,11.287,5.071999999999999,11.465000000000002,5.2282,11.3608
327,5.025,11.35,5.042,11.524,5.22,11.382
328,4.99,11.475559999999998,5.098,11.469000000000001,5.25,11.33
329,5.075,11.347,5.111999999999999,11.505,5.2882,11.3808
330,4.985,11.35,5.021999999999999,11.363999999999999,5.2,11.362
331,4.99,11.495559999999998,5.117999999999999,11.449000000000002,5.35,11.41
332,5.015,11.307,5.052,11.405000000000001,5.2682,11.3408
333,5.025,11.39,5.002,11.463999999999999,5.239999999999999,11.402
334,4.970000000000001,11.495559999999998,5.058,11.389000000000001,5.31,11.33
335,5.075,11.387,5.092,11.425,5.3482,11.3808
336,4.985,11.39,4.962,11.443999999999999,5.22,11.322
337,5.03,11.555559999999998,5.138,11.469000000000001,5.39,11.370000000000001
338,5.035,11.347,5.111999999999999,11.425,5.3282,11.3208
339,5.045,11.39,5.042,11.484,5.3,11.362
340,4.99,11.515559999999999,5.117999999999999,11.429,5.329999999999999,11.33
341,5.095,11.387,5.132,11.445,5.3882,11.4208
342,5.005,11.39,5.002,11.424,5.26,11.261999999999999
343,5.03,11.535559999999998,5.117999999999999,11.509,5.43,11.35
344,5.055,11.347,5.052,11.485000000000001,5.3882,11.3208
345,5.0649999999999995,11.39,5.021999999999999,11.524,5.34,11.341999999999999
346,5.010000000000001,11.535559999999998,5.058,11.429,5.329999999999999,11.290000000000001
347,5.135,11.407,5.071999999999999,11.485000000000001,5.4082,11.3208
348,5.0649999999999995,11.39,4.962,11.463999999999999,5.28,11.261999999999999
349,5.09,11.535559999999998,5.117999999999999,11.469000000000001,5.45,11.35
350,5.114999999999999,11.347,5.092,11.405000000000001,5.3682,11.3208
351,5.0649999999999995,11.370000000000001,5.021999999999999,11.463999999999999,5.36,11.362
352,5.05,11.495559999999998,5.058,11.389000000000001,5.43,11.33
353,5.135,11.387,5.132,11.485000000000001,5.5282,11.3808
354,5.045,11.35,4.942,11.484,5.4,11.282
355,5.05,11.515559999999999,5.077999999999999,11.469000000000001,5.529999999999999,11.41
356,5.075,11.367,4.992,11.385000000000002,5.3482,11.3208
357,5.045,11.370000000000001,4.922,11.484,5.38,11.322
358,5.03,11.475559999999998,4.998,11.389000000000001,5.41,11.290000000000001
359,5.095,11.367,5.032,11.445,5.4482,11.3008
360,5.045,11.35,4.882,11.443999999999999,5.28,11.261999999999999
361,5.03,11.495559999999998,4.998,11.449000000000002,5.43,11.33
362,5.095,11.327,4.992,11.445,5.3882,11.3008
363,5.0649999999999995,11.33,4.942,11.504,5.36,11.341999999999999
364,5.03,11.475559999999998,4.998,11.469000000000001,5.37,11.31
365,5.114999999999999,11.327,5.032,11.505,5.4082,11.3408
366,5.045,11.33,4.862,11.484,5.28,11.282
367,5.03,11.475559999999998,5.058,11.469000000000001,5.43,11.31
368,5.075,11.267,4.992,11.445,5.3482,11.3008
369,5.0649999999999995,11.35,4.962,11.463999999999999,5.3,11.302
370,5.03,11.475559999999998,4.998,11.389000000000001,5.39,11.290000000000001
371,5.154999999999999,11.347,5.032,11.465000000000002,5.4082,11.3208
372,5.085,11.27,4.882,11.484,5.32,11.282
373,5.11,11.435559999999999,5.018,11.509,5.45,11.35
374,5.114999999999999,11.267,4.9719999999999995,11.485000000000001,5.4082,11.3408
375,5.1049999999999995,11.35,4.902,11.543999999999999,5.36,11.341999999999999
376,5.07,11.415559999999997,4.998,11.449000000000002,5.43,11.33
377,5.154999999999999,11.347,5.071999999999999,11.505,5.4482,11.3608
378,5.085,11.31,4.922,11.504,5.34,11.322
379,5.11,11.455559999999998,5.038,11.489,5.45,11.370000000000001
380,5.175,11.247,5.012,11.465000000000002,5.4082,11.3608
381,5.165,11.25,4.981999999999999,11.524,5.36,11.362
382,5.09,11.395559999999998,4.998,11.449000000000002,5.41,11.33
383,5.195,11.247,5.012,11.485000000000001,5.4082,11.3808
384,5.1049999999999995,11.23,4.882,11.463999999999999,5.3,11.322
385,5.11,11.415559999999997,5.018,11.449000000000002,5.41,11.370000000000001
386,5.135,11.227,4.9719999999999995,11.425,5.3682,11.3408
387,5.1049999999999995,11.31,4.902,11.504,5.34,11.362
388,5.07,11.415559999999997,4.958,11.429,5.39,11.35
389,5.135,11.267,4.952,11.465000000000002,5.4082,11.3608
390,5.0649999999999995,11.23,4.862,11.443999999999999,5.32,11.322
391,5.05,11.435559999999999,4.958,11.449000000000002,5.41,11.370000000000001
392,5.114999999999999,11.267,4.9319999999999995,11.405000000000001,5.3682,11.3408
393,5.085,11.290000000000001,4.842,11.484,5.32,11.382
394,5.05,11.375559999999998,4.938,11.409,5.37,11.33
395,5.154999999999999,11.287,4.952,11.445,5.4282,11.4008
396,5.045,11.27,4.862,11.463999999999999,5.32,11.302
397,5.07,11.435559999999999,4.978,11.429,5.43,11.33
398,5.075,11.247,4.9719999999999995,11.445,5.3682,11.3208
399,5.0649999999999995,11.27,4.902,11.463999999999999,5.32,11.341999999999999
400,5.010000000000001,11.395559999999998,4.978,11.409,5.39,11.31
401,5.135,11.247,4.992,11.445,5.3682,11.3408
402,5.045,11.25,4.842,11.443999999999999,5.3,11.282
403,5.07,11.395559999999998,4.978,11.449000000000002,5.41,11.31
404,5.135,11.247,4.952,11.425,5.308199999999999,11.3008
405,5.125,11.25,4.862,11.504,5.3,11.302
406,5.09,11.355559999999999,4.958,11.429,5.37,11.290000000000001
407,5.154999999999999,11.267,4.992,11.445,5.3682,11.3408
408,5.1049999999999995,11.21,4.862,11.424,5.26,11.302
409,5.09,11.375559999999998,4.998,11.429,5.37,11.33
410,5.135,11.207,4.992,11.405000000000001,5.2882,11.3208
411,5.125,11.23,4.902,11.463999999999999,5.239999999999999,11.302
412,5.09,11.295559999999998,4.998,11.429,5.31,11.290000000000001
413,5.154999999999999,11.227,5.032,11.445,5.3282,11.3008
414,5.085,11.21,4.922,11.463999999999999,5.22,11.282
415,5.130000000000001,11.355559999999999,5.018,11.449000000000002,5.329999999999999,11.290000000000001
416,5.195,11.207,4.992,11.445,5.2482,11.2808
417,5.1450000000000005,11.25,4.962,11.524,5.239999999999999,11.302
418,5.07,11.395559999999998,4.998,11.429,5.31,11.27
419,5.135,11.247,5.012,11.445,5.308199999999999,11.3008
420,5.0649999999999995,11.25,4.922,11.463999999999999,5.2,11.261999999999999
421,5.11,11.395559999999998,5.018,11.469000000000001,5.31,11.290000000000001
422,5.114999999999999,11.247,4.992,11.465000000000002,5.2282,11.3008
423,5.1049999999999995,11.27,4.902,11.504,5.22,11.302
424,5.05,11.355559999999999,4.998,11.449000000000002,5.25,11.290000000000001
425,5.154999999999999,11.267,5.032,11.465000000000002,5.2882,11.3208
426,5.085,11.25,4.902,11.463999999999999,5.18,11.302
427,5.07,11.415559999999997,4.998,11.449000000000002,5.31,11.33
428,5.135,11.247,4.9719999999999995,11.445,5.2482,11.3208
429,5.125,11.290000000000001,4.902,11.484,5.26,11.322
430,5.07,11.335559999999997,4.998,11.449000000000002,5.31,11.290000000000001
431,5.154999999999999,11.287,5.012,11.465000000000002,5.308199999999999,11.3408
432,5.085,11.19,4.882,11.463999999999999,5.2,11.302
433,5.15,11.375559999999998,5.018,11.449000000000002,5.329999999999999,11.33
434,5.135,11.227,4.992,11.425,5.208200000000001,11.3208
435,5.1450000000000005,11.23,4.922,11.463999999999999,5.239999999999999,11.322
436,5.09,11.355559999999999,4.998,11.409,5.23,11.290000000000001
437,5.195,11.287,5.071999999999999,11.465000000000002,5.2482,11.3208
438,5.125,11.19,4.942,11.463999999999999,5.140000000000001,11.282
439,5.15,11.395559999999998,5.038,11.449000000000002,5.29,11.31
440,5.195,11.247,5.012,11.445,5.2282,11.3008
441,5.165,11.33,4.942,11.484,5.22,11.282
442,5.11,11.435559999999999,5.038,11.449000000000002,5.25,11.27
443,5.195,11.287,5.032,11.465000000000002,5.2682,11.3008
444,5.085,11.290000000000001,4.902,11.463999999999999,5.140000000000001,11.261999999999999
445,5.15,11.435559999999999,5.038,11.449000000000002,5.29,11.27
446,5.195,11.267,4.9719999999999995,11.465000000000002,5.208200000000001,11.2808
447,5.1450000000000005,11.31,4.902,11.504,5.22,11.282
448,5.07,11.415559999999997,4.998,11.449000000000002,5.27,11.290000000000001
449,5.175,11.267,5.012,11.485000000000001,5.2882,11.3008
450,5.125,11.27,4.902,11.504,5.18,11.282
451,5.11,11.415559999999997,5.058,11.469000000000001,5.35,11.31
452,5.175,11.267,5.032,11.485000000000001,5.2882,11.2808
453,5.125,11.31,4.942,11.524,5.28,11.302
454,5.11,11.415559999999997,5.038,11.469000000000001,5.35,11.27
455,5.175,11.307,5.071999999999999,11.505,5.3482,11.3008
456,5.1049999999999995,11.27,4.962,11.524,5.26,11.261999999999999
457,5.11,11.455559999999998,5.058,11.509,5.39,11.290000000000001
458,5.135,11.267,5.052,11.525,5.3282,11.2808
459,5.085,11.290000000000001,5.021999999999999,11.543999999999999,5.3,11.261999999999999
460,5.07,11.435559999999999,5.038,11.509,5.329999999999999,11.27
461,5.195,11.327,5.052,11.525,5.308199999999999,11.3008
462,5.125,11.31,4.962,11.463999999999999,5.239999999999999,11.282
463,5.11,11.475559999999998,5.098,11.469000000000001,5.329999999999999,11.33
464,5.135,11.287,5.032,11.465000000000002,5.308199999999999,11.3208
465,5.1450000000000005,11.33,4.962,11.484,5.28,11.341999999999999
466,5.11,11.475559999999998,5.018,11.429,5.35,11.35
467,5.195,11.327,5.032,11.465000000000002,5.3482,11.3608
468,5.0649999999999995,11.27,4.922,11.443999999999999,5.22,11.341999999999999
469,5.09,11.495559999999998,5.077999999999999,11.449000000000002,5.35,11.35
470,5.135,11.307,5.052,11.425,5.308199999999999,11.3608
471,5.125,11.31,5.021999999999999,11.463999999999999,5.239999999999999,11.362
472,5.09,11.375559999999998,5.077999999999999,11.389000000000001,5.31,11.370000000000001
473,5.154999999999999,11.267,5.111999999999999,11.445,5.2882,11.4008
474,5.085,11.27,4.962,11.443999999999999,5.18,11.382
475,5.11,11.415559999999997,5.077999999999999,11.449000000000002,5.31,11.39
476,5.135,11.247,5.052,11.445,5.2682,11.4008
477,5.1049999999999995,11.31,5.002,11.463999999999999,5.2,11.402
478,5.03,11.455559999999998,5.098,11.369000000000002,5.27,11.41
479,5.175,11.307,5.092,11.405000000000001,5.2682,11.4208
480,5.1049999999999995,11.290000000000001,4.981999999999999,11.424,5.18,11.402
481,5.09,11.475559999999998,5.098,11.409,5.29,11.41
482,5.114999999999999,11.287,5.071999999999999,11.405000000000001,5.2682,11.3808
483,5.1049999999999995,11.31,4.981999999999999,11.484,5.2,11.382
484,5.07,11.435559999999999,5.077999999999999,11.429,5.25,11.370000000000001
485,5.154999999999999,11.307,5.071999999999999,11.485000000000001,5.2882,11.4208
486,5.1049999999999995,11.31,4.981999999999999,11.443999999999999,5.16,11.341999999999999
487,5.11,11.475559999999998,5.098,11.449000000000002,5.31,11.35
488,5.114999999999999,11.327,5.071999999999999,11.425,5.208200000000001,11.3408
489,5.085,11.33,5.002,11.524,5.18,11.362
490,5.07,11.475559999999998,5.098,11.429,5.23,11.35
491,5.135,11.327,5.092,11.465000000000002,5.2482,11.4008
492,5.0649999999999995,11.31,5.002,11.443999999999999,5.12,11.362
493,5.05,11.475559999999998,5.098,11.449000000000002,5.27,11.43
494,5.095,11.307,5.092,11.425,5.2282,11.3808
495,5.045,11.33,5.021999999999999,11.504,5.2,11.362
496,5.03,11.475559999999998,5.077999999999999,11.389000000000001,5.27,11.35
497,5.095,11.327,5.111999999999999,11.485000000000001,5.2482,11.4008
498,5.045,11.31,5.002,11.484,5.18,11.362
499,5.05,11.455559999999998,5.098,11.469000000000001,5.31,11.39